conversation_id_str,created_at,full_text,lang,username,relevance_label,sentiment_auto,sentiment_manual
8.71E+17,2/6/2017 21:41,let me clarify things about my poor lad zulfarhan osman. he in which i knew from being in the same club in my university.,en,frdausx,relevan,negative,neutral
8.71E+17,2/6/2017 23:23,i wan't aware about the bullying-turned murder case until half hour ago.zulfarhan osman bin zulkarnain navy cadet in upnm passed at 21 y/o ,en,mynameissyauqi,relevan,negative,neutral
8.71E+17,3/6/2017 0:38,navy cadet zulfarhan osman s death will be investigated https://t.co/drd6ewzykf via @malaysiagazette #malaysiagazette,en,MalaysiaGazette,relevan,negative,neutral
8.71E+17,3/6/2017 3:31,cadet officer told mother to take care prior to his murder - navy cadet officer zulfarhan osman zulkarnain who ... https://t.co/u3r0julnb0,en,zyiteblog,relevan,negative,neutral
8.71E+17,3/6/2017 3:41,higher education ministry views zulfarhan osman's death seriously https://t.co/iw5xwedh8j https://t.co/cvssinhpmi,en,theSundaily,relevan,negative,neutral
8.71E+17,3/6/2017 3:52,#awaninews #awanipagi higher education ministry views zulfarhan osman's death seriously https://t.co/tsez5skbt7 https://t.co/mv2jdgl43n,en,501Awani,relevan,negative,neutral
8.71E+17,3/6/2017 3:54,our deepest condolence goes to the late zulfarhan osman and his family. may he rest in peace and those who were... https://t.co/rpat0qsxvt,en,youthonunity,relevan,positive,positive
8.71E+17,3/6/2017 4:00,#awaninews #awanipagi higher education ministry views zulfarhan osman's death seriously https://t.co/wtwx1m0fk2 https://t.co/lgzinjlwua,en,mat4g13,relevan,negative,neutral
8.71E+17,3/6/2017 4:13,such a heartbreaking news. my heart &amp; condolences go to the family of zulfarhan osman. may justice serves whoever deserves it. al-fatihah. https://t.co/jm54lr2iiv,en,yiyieeen,relevan,positive,positive
8.71E+17,3/6/2017 4:30,higher education ministry views zulfarhan osman's death seriously https://t.co/wd33tnadu6,en,zyiteblog,relevan,negative,neutral
8.71E+17,3/6/2017 4:31,https://t.co/hhxjourxza - higher education ministry views zulfarhan osman's death seriously https://t.co/m5jhtgr0ik,en,DavidAnanth,relevan,negative,neutral
8.71E+17,3/6/2017 5:00,ministry concerned over murder of military varsity cadet - upnm's 21-year-old undergrad zulfarhan osman is susp... https://t.co/qh7gn3jilu,en,malaysiakini,relevan,negative,neutral
8.71E+17,3/6/2017 5:49,i don't understand if zulfarhan osman was taken to a clinic 2 weeks before being taken to the hosp why didn't gp at clinic call police?,en,Melissa_Jhnsn,relevan,neutral,negative
8.71E+17,3/6/2017 6:59,for those who knew him late navy cadet officer zulfarhan osman zulkarnain was polite and soft-spoken in nature.... https://t.co/7tr2ywxhsb,en,SAYSSingapore,relevan,neutral,positive
8.71E+17,3/6/2017 7:00,for those who knew him late navy cadet officer zulfarhan osman zulkarnain was polite and soft-spoken in nature.... https://t.co/1yxyrf6ido,en,SAYSPhilippines,relevan,neutral,positive
8.71E+17,3/6/2017 7:41,we all know his family and that girl feelings alfatihah zulfarhan osman. semoga beliau tenang disana https://t.co/96lhusjj6e,en,IsyamKhir_,relevan,positive,positive
8.71E+17,3/6/2017 8:03,higher education ministry views zulfarhan osman s death seriously https://t.co/eouu6dqizj #theborneopost,en,OnlyMalayNews,relevan,negative,neutral
8.71E+17,3/6/2017 8:24,higher education ministry views zulfarhan osman's death seriously - https://t.co/wjtfrtuebj education minis... https://t.co/3urixqlczo,en,UpdatesMalaysia,relevan,negative,neutral
8.71E+17,3/6/2017 8:59,higher education ministry views zulfarhan osman's death seriously: bernama photo ... which https://t.co/9kb72yo5sb,en,iss_iskandar,relevan,negative,neutral
8.71E+17,3/6/2017 12:16,higher education ministry views zulfarhan osman's d... https://t.co/ec9siyw4tr via @malaysiandigest https://t.co/oc8ldwa37i,en,HigherEdTopNews,relevan,neutral,neutral
8.71E+17,3/6/2017 15:12,still shocked over the death of upnm student zulfarhan osman zulkarnain the actions taken on him in this situation were immature #alfatihah,en,kir_wasabi,relevan,negative,negative
8.71E+17,3/6/2017 17:24,navy cadet zulfarhan osman s death will be investigated - https://t.co/nzim3vrvfa cadet zulfarhan osman s dea... https://t.co/0cadj161ly,en,MediaLantang,relevan,negative,neutral
8.71E+17,3/6/2017 18:00,my heart and dua' are with the family of zulfarhan osman zulkarnian. may allah help them in this difficult time.,en,Aaaamaannn,relevan,neutral,positive
8.71E+17,3/6/2017 22:06,i cried reading abt arwah zulfarhan osman zulkarnain al-fatihah. imagine if tht happens to our siblings hw can some people be so heartless,en,sissyimann,relevan,negative,negative
8.71E+17,4/6/2017 1:25,how can some people be so heartless ! al fatihah arwah zulfarhan osman. ,en,maryamizza,relevan,negative,negative
8.71E+17,4/6/2017 4:48,higher education ministry views zulfarhan osman s dea... https://t.co/nyddgz1on7 via @onlymalaynews https://t.co/62yzputpln,en,HigherEdTopNews,relevan,neutral,neutral
8.71E+17,4/6/2017 8:43,you left on ramadhan. you must have done many good things in your life. may allah grants you jannah zulfarhan osman.,en,dylladyllx,relevan,positive,positive
8.71E+17,5/6/2017 6:34,@qyscha_ justice for zulfarhan osman ,en,HanaFisyora,relevan,positive,positive
8.72E+17,5/6/2017 10:38,rip zulfarhan osman zulkarnain. hopefully these murderers from upnm will spend hari raya aidilfitri in prison. https://t.co/g4rpibift0,en,briarauroraros,relevan,negative,negative
8.72E+17,5/6/2017 11:05,i accidentally ironed a little ant to death and then teringat arwah zulfarhan osman al fatihah for him..,en,rajanurulhz,relevan,negative,negative
8.72E+17,5/6/2017 11:31,more individuals may be arrested for the murder of zulfarhan osman. https://t.co/irvro3txra https://t.co/k0lrps7k2w,en,MalaysiaGazette,relevan,negative,neutral
8.72E+17,5/6/2017 15:09,alfatihah for arwah zulfarhan osman. i don't know you but i hope allah puts you among the pious and may he grant you the highest of paradise,en,emmericium,relevan,positive,positive
8.72E+17,6/6/2017 1:14,more individuals may be arrested for the murder of zulfarhan osman. https://t.co/irvro4b9fk via @malaysiagazette #malaysiagazette,en,MalaysiaGazette,relevan,negative,neutral
8.73E+17,8/6/2017 14:24,justice for allahyarham zulfarhan osman. may he be placed among the pious ameen,en,emmericium,relevan,positive,positive
8.75E+17,14/6/2017 9:41,have you guys read the new update case abt zulfarhan osman? https://t.co/bahidtfwxn .,en,syz4nisahar,relevan,neutral,neutral
8.75E+17,14/6/2017 18:23,to all 5 all zulfarhan osman's murderer. i pray for you. it sadden me to know that your parents will be scorn for life. #alfatihah,en,syenzhuka,relevan,negative,negative
8.75E+17,15/6/2017 4:55,5 students have been charged with murdering #upnm cadet zulfarhan osman. but how did it happen in the first place? https://t.co/cf3nw1kwia https://t.co/8nutnhvk8a,en,TahanUniMY,relevan,negative,neutral
8.76E+17,16/6/2017 4:57,my deepest sympathy goes to family of t.nhaveen and zulfarhan osman for their loss.may god ease them in this difficult time of grief and pain,en,sannaazharr,relevan,negative,positive
8.76E+17,16/6/2017 18:10,the saddest part about zulfarhan osman's death was it was by the hands of people he once called 'friends'.,en,yazrulyassin,relevan,negative,negative
8.76E+17,17/6/2017 2:43,and the saddest part about zulfarhan osman's death was it was by the hands of people he once called friends for god sake!!,en,puteriazwin,relevan,negative,negative
8.77E+17,19/6/2017 15:23,mendiang t nhaveen &amp; arwah zulfarhan osman really open our eyes on to what extent bullying in malaysia can get to.,en,levibih07,relevan,negative,neutral
8.87E+17,18/7/2017 6:54,aug 14: mention date of upnm students charged with navy cadet officer zulfarhan osman's death https://t.co/4exm6wln8r https://t.co/yeiws8yyxi,en,bernamadotcom,relevan,negative,neutral
8.87E+17,18/7/2017 6:59,aug 14: mention date of upnm students charged with navy cadet officer zulfarhan osman's death https://t.co/zrifsnmrks,en,mat4g13,relevan,negative,neutral
9.13E+17,28/9/2017 10:02,the most gruesome bullying case this year that deeply trouble every malaysian. 1) zulfarhan osman zulkarnain 2) t nhaveen,en,twt_malaysia,relevan,negative,negative
